"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @KitchenSanc2ary: My chicken and mushroom pie is proper comfort food. Encased in buttery puff pastry, and made extra special with a spri…",FALSE,0,NA,2019-03-20 03:40:58,FALSE,NA,"1108211802893139968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rolandrod75",24,TRUE,FALSE,NA,NA
"2","RT @KitchenSanc2ary: My chicken and mushroom pie is proper comfort food. Encased in buttery puff pastry, and made extra special with a spri…",FALSE,0,NA,2019-03-20 03:26:36,FALSE,NA,"1108208189961457664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twobigboysblog",24,TRUE,FALSE,NA,NA
"3","RT @Moomettes: Fire Roasted Red Pepper Soup Recipe | Tomato Soup https://t.co/rGDBGSE3GS #soup #recipe #wintersoup #food #foodies #comfortf…",FALSE,0,NA,2019-03-20 03:11:55,FALSE,NA,"1108204494578438150",NA,"<a href=""https://twitter.com/vehement_soup"" rel=""nofollow"">vehement_soup</a>","vehement_soup",1,TRUE,FALSE,NA,NA
"4","Fire Roasted Red Pepper Soup Recipe | Tomato Soup https://t.co/rGDBGSE3GS #soup #recipe #wintersoup #food #foodies… https://t.co/7TDI1sDSuX",FALSE,0,NA,2019-03-20 03:00:04,TRUE,NA,"1108201511132237825",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Moomettes",1,FALSE,FALSE,NA,NA
"5","RT @ChefArthur1: Do you like oysters ? #chefarthur #chefarthur1 #food #foodporn #foodpics #foodie #yum #yummy #cook #cooking #homecook #hom…",FALSE,0,NA,2019-03-20 02:52:07,FALSE,NA,"1108199513183813633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FoodizShare",2,TRUE,FALSE,NA,NA
"6","RT @KitchenSanc2ary: My chicken and mushroom pie is proper comfort food. Encased in buttery puff pastry, and made extra special with a spri…",FALSE,0,NA,2019-03-20 02:39:06,FALSE,NA,"1108196234123055104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LatteMatcha",24,TRUE,FALSE,NA,NA
"7","RT @vegan4tw0: Today's dinner: pumpkin mac and cheese from @veganricha <U+0001F618> Merci <U+2764>
<U+0001F1E8><U+0001F1E6><U+0001F491><U+0001F1EB><U+0001F1F7>YOUTUBE: vegan4two
*~*~*~*~*~*~*
#vegan #plantbased #…",FALSE,0,NA,2019-03-20 02:36:25,FALSE,NA,"1108195559259754496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BeatCancer10",1,TRUE,FALSE,NA,NA
"8","@nancywyuen <U+270B><U+0001F3FD>awesome on porridge &amp; my Dad made our leftover Thanksgiving <U+0001F983> into some one year #comfortfood",FALSE,2,"nancywyuen",2019-03-20 02:36:19,FALSE,"1108172208025681921","1108195536220221440","1859566374","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HelenHsuPsyD",0,FALSE,FALSE,NA,NA
"9","Had to take it back to the Bx for some oxtails... ring the alarm!! #Beef #Slowcook #Notgrilled #ComfortFood… https://t.co/t0auvn3KXi",FALSE,1,NA,2019-03-20 02:36:02,TRUE,NA,"1108195465475051520",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","regskinner",0,FALSE,FALSE,NA,NA
"10","Today's dinner: pumpkin mac and cheese from @veganricha <U+0001F618> Merci <U+2764>
<U+0001F1E8><U+0001F1E6><U+0001F491><U+0001F1EB><U+0001F1F7>YOUTUBE: vegan4two
*~*~*~*~*~*~*
#vegan… https://t.co/oYdldaQ0TQ",FALSE,1,NA,2019-03-20 02:34:53,TRUE,NA,"1108195173580881920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vegan4tw0",1,FALSE,FALSE,NA,NA
