"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @foodonaroll: Summer Fruits.  <U+0001F60D><U+2600><U+FE0F>
#foodie #eatfood #home #healthyfood #eating #cook #health #foodfeed #goodfood #foodshow https://t.co/6…",FALSE,0,NA,2019-03-19 12:13:24,FALSE,NA,"1107978376512487424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nouvellemeat",7,TRUE,FALSE,NA,NA
"2","RT @NatureFreshOrg: The Best Quality Sugar Cane Vinegar Brought You By Nature Fresh Organics!
Choose Health..Choose Nature Fresh Organic!
#…",FALSE,0,NA,2019-03-19 12:11:35,FALSE,NA,"1107977918930657280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RM_Salt",1,TRUE,FALSE,NA,NA
"3","A yummy sunny breakfast; low-fat yogurt, raspberries, blueberries, blackberries and some sunflower- and pumpkinseed… https://t.co/zDxBWtNpIn",FALSE,0,NA,2019-03-19 12:10:45,TRUE,NA,"1107977707294523392",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Vicstar",0,FALSE,FALSE,NA,NA
"4","RT @yaya_kitchen: <U+2764><U+FE0F> if you agree to this quote

https://t.co/pY0DjfTrm8
#cook #food #cooking #foodporn #chef #foodie #instafood #yummy #de…",FALSE,0,NA,2019-03-19 12:09:17,FALSE,NA,"1107977338837442562",NA,"<a href=""https://www.twitter.com/chef_B4gAMING"" rel=""nofollow"">Chef before gaming retweet bot</a>","chef_b4_gaming",2,TRUE,FALSE,NA,NA
"5","RT @MyVal365: Health is wealth - eat natural, eat organic.
Organic food is natural food and good for health.
Shop now from our wide range o…",FALSE,0,NA,2019-03-19 12:08:38,FALSE,NA,"1107977177268736000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RM_Salt",1,TRUE,FALSE,NA,NA
"6","RT @YourMentalCoac1: #HealthyFood <U+27A1><U+FE0F> #greens <U+0001F96C><U+0001F952>

These green #veggies are low in calories and high in vitamins, minerals and filling fiber.…",FALSE,0,NA,2019-03-19 12:05:23,FALSE,NA,"1107976359157157888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FedePolitan",4,TRUE,FALSE,NA,NA
"7","Can humans feel magnetic fields and possibly sense direction? What do you think? Read this article that suggests we… https://t.co/q1y48qX1Ai",FALSE,0,NA,2019-03-19 12:05:05,TRUE,NA,"1107976283940638720",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","justingiannidc",0,FALSE,FALSE,NA,NA
"8","What you eat can play a big part in your skin health - here are the natural ways to improve your skin and hair… https://t.co/a4chrTbdrZ",FALSE,0,NA,2019-03-19 12:05:01,TRUE,NA,"1107976265116594176",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","HealthistaTV",0,FALSE,FALSE,NA,NA
"9","RT @LyliaRose: Healthy eating - even when you're madly busy 

https://t.co/EHjWtfXKF8

#healthy #healthyliving #healthyeating #healthyfood…",FALSE,0,NA,2019-03-19 12:04:55,FALSE,NA,"1107976240554803201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lorrainec162",1,TRUE,FALSE,NA,NA
"10","Scotch egg in a panko Breadcrumbs with a Harissa chicken and tabbouleh salads an a drizzle of orange yogurt… https://t.co/j0jtTJp2lk",FALSE,0,NA,2019-03-19 12:04:29,TRUE,NA,"1107976131251236864",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","arron_english",0,FALSE,FALSE,NA,NA
"11","RT @Dartagnan1986: I love fitness. #fitness #fitnessmotivation #healthyfood #healthylifestyle #gnc https://t.co/CaWiIVC7cA",FALSE,0,NA,2019-03-19 12:04:15,FALSE,NA,"1107976071654400000",NA,"<a href=""https://www.botlibre.com"" rel=""nofollow"">Bot Libre!</a>","KdL1337",1,TRUE,FALSE,NA,NA
"12","Healthy eating - even when you're madly busy 

https://t.co/EHjWtfXKF8

#healthy #healthyliving #healthyeating… https://t.co/PU3Y1r311W",FALSE,2,NA,2019-03-19 12:03:52,TRUE,NA,"1107975976431116288",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","LyliaRose",1,FALSE,FALSE,NA,NA
"13","I love fitness. #fitness #fitnessmotivation #healthyfood #healthylifestyle #gnc https://t.co/CaWiIVC7cA",FALSE,0,NA,2019-03-19 12:03:01,FALSE,NA,"1107975763838427137",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Dartagnan1986",1,FALSE,FALSE,NA,NA
"14","fries prawn <U+0001F990> lobster <U+0001F99E> from fresh water #freshfood #healthyfood #foodporn #foodie #food #instafood #delicious… https://t.co/x9OvCIR71w",FALSE,0,NA,2019-03-19 12:01:25,TRUE,NA,"1107975361390764033",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","berwisata",0,FALSE,FALSE,NA,NA
"15","Building a legacy of greatness one steak at a time. GET 20% OFF TODAY 4-6PM. #TorosNottingham #steakhouse #food… https://t.co/HYC6gk8JY0",FALSE,0,NA,2019-03-19 12:01:02,TRUE,NA,"1107975261881028610",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","TorosNottingham",0,FALSE,FALSE,NA,NA
"16","Here’s to bold beginnings. GET 20% OFF TODAY! FROM 4-6PM #TorosBradford #steakhouse #food #foodporn #foodie #halal… https://t.co/aRDDNQkGMx",FALSE,0,NA,2019-03-19 12:01:01,TRUE,NA,"1107975257338597376",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","TorosBradford",0,FALSE,FALSE,NA,NA
"17","Mealprep, a crucial part of many lifestyles!

#keto #ketodiet #ketofood #fasting #intermittentfasting #healthy… https://t.co/7entxNkT8L",FALSE,0,NA,2019-03-19 12:00:35,TRUE,NA,"1107975150182559745",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ketoeatslifest1",0,FALSE,FALSE,NA,NA
"18","RT @yaya_kitchen: <U+2764><U+FE0F> if you agree to this quote

https://t.co/pY0DjfTrm8
#cook #food #cooking #foodporn #chef #foodie #instafood #yummy #de…",FALSE,0,NA,2019-03-19 12:00:34,FALSE,NA,"1107975146160021504",NA,"<a href=""http://healthinsider.co.education"" rel=""nofollow"">Health Insider</a>","dhealthinsider",2,TRUE,FALSE,NA,NA
"19","<U+2764><U+FE0F> if you agree to this quote!

https://t.co/9qXsO2Euy2
#health #healthcare #wellness #healthylifestyle… https://t.co/Hw7d6l0hlr",FALSE,0,NA,2019-03-19 12:00:31,TRUE,NA,"1107975133849899009",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","bubbleoxblog",0,FALSE,FALSE,NA,NA
"20","<U+2764><U+FE0F> if you agree to this quote

https://t.co/pY0DjfTrm8
#cook #food #cooking #foodporn #chef #foodie #instafood… https://t.co/6iv83yEAIr",FALSE,1,NA,2019-03-19 12:00:17,TRUE,NA,"1107975072432771073",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","yaya_kitchen",2,FALSE,FALSE,NA,NA
"21","Low in calories and providing 2 of your 5-a-day per serving, try our stuffed peppers for a healthy lunch… https://t.co/vPic7Zv6mS",FALSE,1,NA,2019-03-19 12:00:01,TRUE,NA,"1107975005424373760",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","healthyfoodmag",0,FALSE,FALSE,NA,NA
"22","monster prawn <U+0001F990> fresh from the river #freshfood #healthyfood #foodporn #foodie #food #instafood #delicious… https://t.co/nTcEPr3ybu",FALSE,0,NA,2019-03-19 11:58:37,TRUE,NA,"1107974655359569920",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","berwisata",0,FALSE,FALSE,"111.62927985","-2.67404405"
