"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @SyazanaSukirin: The secret to make a tasty telur goreng. https://t.co/X64cwCCvuR",FALSE,0,NA,2019-03-19 12:49:58,FALSE,NA,"1107987578030981122",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yasminpramita",26981,TRUE,FALSE,NA,NA
"2","RT @IndiaEpson: #ContestAlert From sunshine and flowers to tasty dhoklas, there’s much to love in this happy hue.  When we say yellow, you…",FALSE,0,NA,2019-03-19 12:49:57,FALSE,NA,"1107987571655749633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manojvarughese5",48,TRUE,FALSE,NA,NA
"3","Date: 9th Grade
I was being dominated by this hot, sexy young aged lady upon a wall until she slowly licked the sid… https://t.co/rXcW1mupZG",FALSE,0,"Mark_Eiuol",2019-03-19 12:49:45,TRUE,"1107987521437196288","1107987523811172352","898128940358811648","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mark_Eiuol",0,FALSE,FALSE,NA,NA
"4","RT @tasty: Fries Around the World https://t.co/QS4VtIfQml",FALSE,0,NA,2019-03-19 12:49:41,FALSE,NA,"1107987507982098440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoseBohr",200,TRUE,FALSE,NA,NA
"5","RT @J_SchaefferWOI: Any media/fans visiting Des Moines for the NCAA tournament, here are my TOP 10 food stops!

1. Tasty Tacos
2. El Bait S…",FALSE,0,NA,2019-03-19 12:49:35,FALSE,NA,"1107987480505188352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anna_pion",56,TRUE,FALSE,NA,NA
"6","RT @petegenovese: The 64 foods that define NJ - and where to get them. These are not necessarily the most popular or best-known foods, but…",FALSE,0,NA,2019-03-19 12:49:34,FALSE,NA,"1107987477422399489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DickYoungsGhost",9,TRUE,FALSE,NA,NA
"7","@hangarhockey @DJ_Biff_WPG @BigPapiPegCity @DoubleEmMartin Pumpkin ice cream sooooo tasty",FALSE,0,"hangarhockey",2019-03-19 12:49:30,FALSE,"1107922224252506113","1107987459995066368","728994488689917952","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mporter472",0,FALSE,FALSE,NA,NA
"8","RT @gcfartist: what's tasty in busan? https://t.co/y91Nd1EFl3",FALSE,0,NA,2019-03-19 12:49:29,FALSE,NA,"1107987455326806017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kayfloweer",236,TRUE,FALSE,NA,NA
"9","Pleasantly surprised by the cafe at the Erskine Garden Centre! Very tasty chilli nachos for a late breakfast <U+0001F92D> Cath… https://t.co/raxKHy5YbC",FALSE,0,NA,2019-03-19 12:49:28,TRUE,NA,"1107987451178598400",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","NobleNourish",0,FALSE,FALSE,NA,NA
"10","RT @tasty: Avocado Toast 9 Ways <U+0001F951> https://t.co/HbkvbeqGIB",FALSE,0,NA,2019-03-19 12:49:28,FALSE,NA,"1107987451061035008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pupacafe",484,TRUE,FALSE,NA,NA
