"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@michaelpagano71 How did you make these? YUM!!",FALSE,0,"michaelpagano71",2019-03-20 03:58:11,FALSE,"1108100382620680192","1108216139518111745","64595144","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tracinnasv",0,FALSE,FALSE,NA,NA
"2","@s_eongso Waaah. Thank you so much, Seongso. It looks so deli. Yum.",FALSE,0,"s_eongso",2019-03-20 03:55:21,FALSE,"1108210009735753728","1108215423323955201","721368499034021888","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NCTsKDY",0,FALSE,FALSE,NA,NA
"3","<U+275D> todoroki it's not even anything all that special, it's just rice with yum yum sauce. <U+275E> <U+05C2><U+05C2><U+0AE2><U+0F0B><U+0F18><U+0FD0>

Izumo offered as h… https://t.co/RJ3t2ShxyO",FALSE,0,NA,2019-03-20 03:54:57,TRUE,NA,"1108215325219274752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IzumoKittenCat",0,FALSE,FALSE,NA,NA
"4","Oh yum @dessertcuties https://t.co/NonrIbNaOO",FALSE,0,NA,2019-03-20 03:54:52,FALSE,NA,"1108215303282941952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","janeburgersaz",0,FALSE,FALSE,NA,NA
"5","@TaeTae_Yum @takatakyu Thank you!! <U+0001F49C><U+0001F47C><U+0001F3FB>",FALSE,0,"TaeTae_Yum",2019-03-20 03:54:26,FALSE,"1108204021888606209","1108215192247132160","757566749575221248","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jendeukiekim",0,FALSE,FALSE,NA,NA
"6","RT @Pathryn34: I have to: 

Very Sastiel Captions: 

“And to think, we could have had that threesome.” 

“It’s a d<U+0001F92D>mn shame. I mean, look a…",FALSE,0,NA,2019-03-20 03:54:12,FALSE,NA,"1108215135603175424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mishtheuniverse",2,TRUE,FALSE,NA,NA
"7","RT @lottedfs_global: <U+0001F3AC> #3. BTS LDF(YUM) Special Clip Episode #F!
Have fun with BTS #LDF(YUM)Play <U+0001F3AE>

#LoveMonday #ItsTimeFor_BTS_LDF(YUM)Pla…",FALSE,0,NA,2019-03-20 03:53:36,FALSE,NA,"1108214986092871680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jn_Jnggk",21834,TRUE,FALSE,NA,NA
"8","RT @Pathryn34: I have to: 

Very Sastiel Captions: 

“And to think, we could have had that threesome.” 

“It’s a d<U+0001F92D>mn shame. I mean, look a…",FALSE,0,NA,2019-03-20 03:53:24,FALSE,NA,"1108214932636495872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SPN290",2,TRUE,FALSE,NA,NA
"9","@MelissasProduce Yum! This would be perfect to pack in our @Modern_Picnic snack pouch!",FALSE,0,"MelissasProduce",2019-03-20 03:53:23,FALSE,"1108161099516600320","1108214927997784064","23593051","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Modern_Picnic",0,FALSE,FALSE,NA,NA
"10","I’ll never forget when senior year my 900 year old  English teacher made us listen to blueberry yum yum and analyze it.",FALSE,0,NA,2019-03-20 03:53:19,FALSE,NA,"1108214911794995200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Peight21",0,FALSE,FALSE,NA,NA
