"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Yummy.... I want some... https://t.co/j7oWDw3o4E",FALSE,0,NA,2019-03-19 12:18:35,FALSE,NA,"1107979678126612480",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","rwh19475",0,FALSE,FALSE,NA,NA
"2","Today's the day we see those yummy Sekiro review scores. Not that it matters, I was getting it anyway.",FALSE,0,NA,2019-03-19 12:18:25,FALSE,NA,"1107979638368862208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Shadowhaxor",0,FALSE,FALSE,NA,NA
"3","RT @LMB0675: Green family's family supporting @tweetcldf Sam's lovely mum has made these little Easter beauties complete with a yummy creme…",FALSE,0,NA,2019-03-19 12:18:10,FALSE,NA,"1107979573625606144",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","tweetcldf",1,TRUE,FALSE,NA,NA
"4","@telepizza_es @pccomponentes #TelepizzayPcComponentes Yummy!",FALSE,0,"telepizza_es",2019-03-19 12:17:54,FALSE,"1107975175235092481","1107979506223120385","17999586","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","avanwalre",0,FALSE,FALSE,NA,NA
"5","Can’t wait to get doe n get myself tattooed mmmm yummy",FALSE,0,NA,2019-03-19 12:17:47,FALSE,NA,"1107979477462802433",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bigtitT99",0,FALSE,FALSE,NA,NA
"6","Shizu Pro Tip:
Add cinnamon to your coffee grounds before brewing for a hint of cinnamon in your go-go juice.

This… https://t.co/RPqeDDgI7W",FALSE,0,NA,2019-03-19 12:17:45,TRUE,NA,"1107979468763787264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shizubro",0,FALSE,FALSE,NA,NA
"7","RT @ayinke_AR: It’s tomorrow guys, tomorrow is my birthday and THE FOOD SALE yummy delicious food for super cheap. Don’t forget, please Kin…",FALSE,0,NA,2019-03-19 12:17:45,FALSE,NA,"1107979467757182976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lallypupa",1,TRUE,FALSE,NA,NA
"8","Martes !!! #menú #telefono #934666473  #restaurant #cinc #santacolomadegramenet #foodie #foodporn #food… https://t.co/RomFPggqlf",FALSE,0,NA,2019-03-19 12:17:18,TRUE,NA,"1107979357929254912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CincRestaurant",0,FALSE,FALSE,NA,NA
"9","@charitycorneli1 @SuverGabrielle @SWETornadoes @MCPSWellnessPE @WymanHeather @MCPSK12PE It was yummy",FALSE,0,"charitycorneli1",2019-03-19 12:17:15,FALSE,"1106605470029152256","1107979344884969474","921369754060951552","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adamsmandy",0,FALSE,FALSE,NA,NA
"10","Come in and make your morning bright <U+0001F60D><U+0001F3AD><U+0001F3A4><U+0001F389><U+0001F60E>
<U+0001F4F7>: @dcgirlnjersey #instagram
.
.
.
#yummy #pancakes #tasty #bacon… https://t.co/5ZEomGlQhk",FALSE,0,NA,2019-03-19 12:17:08,TRUE,NA,"1107979313188667397",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","EllensStardust",0,FALSE,FALSE,NA,NA
